Evaluation Response,Final Question Response,Final Question Codes,OTT Codes
1,Yes,,
2,"This was amazing, and I am certain to attend more OTTs this week.","More Engagement,Positive",
3,I learned so much.  Listening to other people’s voices is important and inspiring!,"Learned Something,Positive",
4,It was great! ,Positive,
5,"People are hungry for opportunities for meaningful engagement and feeling like they are materially influencing the conditions of their daily lives, not just throwing public comments into the black hole of municipal process","More Engagement,Positive,Document",
6,"Enjoyed the chance to provide input for this process.

Learned a few new things but my mind wasn’t changed on any items.","Learned Something,Didn't Change Mind,Positive",
7,Interesting but got too macro - lost the Lexington 🧘 ,"Specific Feedback,Negative",
8,Yes,Positive,
9,"Best facilitator ever! Stephen Davis. I learned so much and it gave me the confidence that my opinions and ideas were valid, relevant, and appreciated, ","Learned Something,Empowering,Positive",
10,"It was a great experience. I would like sessions to be advertised more to the general population. If a friend hadn’t told me about the initiative, I would not have known about On The Table otherwise. ","Suggestion for Future,Positive,Specific Feedback",
11,Our host did a great job. We have lots of issues to deal with and need LEADERSHIP!!!,Positive,
12,"This is great, planning to connect further on other opportunities to improve our city. ","More Engagement,Positive",
13,"Well, we got off on a more nationwide/global/socio-political widespread humanitarian need for awhile.  But we did get some local talk going.  There are a lot of things Lexington can do if given the proper funds and the manpower. So, my big question is … does Lexington have the necessary funds and manpower to do what needs to be done?  If not, priority one is getting there first. ","Netural,Specific Feedback",
14,"Because I’m old and retired, the varied experiences of everyone here gave me a view of Lexington outside of my narrow world. ","Expanded Worldview,Positive,Document",
15,Test,Not Usable,
16,"After discussion, the experience was great to hear the many ideas brought to the table. First and foremost was the idea of building up central downtown, making all suburbs and neighborhoods have safe bike, walk lines leading there and more trams or electric or solar powered streetcars to make transportation easier to downtown especially from keeneland, airport, to downtown. More incentive for schools to promote trades and not college. Accountability for landlords who lease to college students to have safety in place. Green space and community areas per capital in new neighborhoods, better trees and greenery instead of cheaper varieties. Safer bike running lanes. Resining empty office space for cheaper living if useful purposes. ",Comp Plan Relevant,"Growth Location,Walkability / Bikeability / Accessibility,Public Transportation,Workforce Training,Rental Issues,Urban Greenspaces,Connectivity,Trees,Infill & Redevelopment,Public Education,Safety,Style of Development,Housing Affordabiilty,Environmental Sustainability & Resiliency"
17,"1. Trolley/street car/ trans rail car transportation from airport/ keeneland to downtown area. Decrease traffic during peak times of the year- Keeneland.
2.  Protected bike lanes and walking areas around Lexington - Richmond Rd, Versailles Rd, Nicholasville Rd, Harrodsburg road all leading to downtown.
3 Decrease downtown traffic during events- park and ride areas near I-75 downtown to decrease traffic downtown
4. Increase venues downtown- more restaurants and entertainment so people will want to spend the day downtown and not be just a destination for a specific spot.
5. Build more residency and rebuilt properties downtown. Allow for a significant range to allow all price ranges.Repurpose office lease spaces for residency instead.
",Comp Plan Relevant,"Traffic Congestion,Public Transportation,Walkability / Bikeability / Accessibility,Amenities & Quality of Life,Economic Development,Housing Affordabiilty,Infill & Redevelopment,Connectivity"
18,"New schools should be built when neighborhoods are built. Have enough schools so they aren’t so overcrowded. Provide resources so underperforming schools can thrive.
Solve traffic congestion problems. Offer a tram/shuttle from downtown to the airport and Keeneland. Safer bike lanes.
Protect historic properties. Make landlords accountable—fine them for not maintaining buildings!! Limit how many houses can be sold to commercial owners to rent or used as air bnbs. Turn unused commercial space into
housing.
Support the recycling program  with funding and by making people aware.
Protect green spaces and require green spaces in new developments. Promote community gardens.
Help people who are not college-bound have m financial stabilit",Comp Plan Relevant,"Public Education,Amenities & Quality of Life,Traffic Congestion,Public Transportation,Walkability / Bikeability / Accessibility,Rental Issues,Infill & Redevelopment,Recycling & Composting,Urban Greenspaces,Economic Equity,Connectivity"
19,"I would like to see more public transportation, preferably solar powered transportation. The routes of Hamburg to downtown and airport/Keeneland to downtown should have trams running along them.

New neighborhoods should be required to follow rules of minimum number of trees, shared greenspace, sidewalks, and bike lanes!


Would love to see more community gardens and architecture nature scapes.

I would love to see improvements in recycling.

To revitalize downtown, repurpose empty office spaces to residential housing. Give incentives to landlords to renovate historic houses for residential use.

School curriculum should include several different options designed to create jobs in Kentucky.


",Comp Plan Relevant,"Environmental Sustainability & Resiliency,Public Transportation,Amenities & Quality of Life,Trees,Urban Greenspaces,Walkability / Bikeability / Accessibility,Recycling & Composting,Infill & Redevelopment,Style of Development,Public Education,Connectivity"
20,"We need a solar powered street car/tram from the following two areas to downtown:
1.  Hamburg to downtown
2.  Keeneland/airport to downtown

New developments MUST include green-space & additional native tree canopy requirements—

LFUCG Sustainability Coordinator role is  crucial— what are the objectives of her role?

We MUST grow up, not out!

We MUST increase tree canopy. ",Comp Plan Relevant,"Public Transportation,Environmental Sustainability & Resiliency,Urban Greenspaces,Trees,Government Services,Infill & Redevelopment,Connectivity"
21,"Our group prioritized environmental/transportation improvements that would open up corridors to downtown, thus benefiting businesses and quality of life for citizens. For example, an electric/solar tram from the airport/Keeneland would be ideal in the long term. A dedicated streetcar line would be hip, and would draw more clientele than just a traditional public transport bus. Next, anytime the city takes over property in residential areas (ie floodplain) the land should immediately become a community garden. New construction permits for neighborhoods should include mandatory green spaces, tree cover, bike paths, etc. More stable funding for recycling. ",Comp Plan Relevant,"Public Transportation,Environmental Sustainability & Resiliency,Amenities & Quality of Life,Connectivity,Urban Greenspaces,Government Services,Walkability / Bikeability / Accessibility,Trees,Recycling & Composting"
