Neighborhood Cluster Name,Notes,OTT Raw Data 2,Count - Neighborhood (from OTT Codes)
No Response,,"55,1685,2350,589,1947,1122,1119,2334,1230,615,504,96,782,1159,298,293,991,2333,1801,1636,933,789,1730,265,66,1931,433,2021,1520,243,952,667,1580,1756,1368,2323,710,827,336,270,2199,932,685,779,1366,1327,1770,2147,1365,759,1658,1191,445,1624,1751,2209,1531,892,1781,870,680,684,297,555,2030,1152,1235,422,719,1738,1456,965,1832,2250,1409,1717,2380,709,547,7,1412,553,1406,1803,868,1644,1662,1556,534,2105,561,1200,1983,986,10,71,72,87,102,151,183,198,205,208,210,211,238,272,333,348,423,424,431,481,490,491,500,558,564,576,623,640,694,699,707,708,718,743,756,771,778,824,850,852,957,969,970,988,1068,1069,1075,1102,1121,1173,1195,1203,1242,1261,1301,1333,1342,1389,1402,1449,1458,1480,1502,1504,1558,1583,1603,1650,1676,1783,1786,1806,1829,1882,1887,1900,1904,1943,1946,2012,2051,2086,2119,2195,2215,2244,2264,2275,2277,2282,2314,2340,2371,2403,316,43,1240,86,1860,2069,1856,662,115,1563,962,1544,940,912,2261,844,1696,1857,1903,543,421,91,2143,2402,1419,2056,1623,1150,654,1123,215,2010,805,1667,2122,1713,2229,955,1003,1394,1680,448,2200,259,1721,161,1917,1439,609,2167,1639,480,1842,1353,1095,322,508,1810,1377,1915,1582,1093,614,967,1677,2383,749,1461,45,415,1744,1361,726,2341,2280",263
Tates Creek,"Contains: Gainesway, Tates Creek,  Park Hills, River Park, Appian Way, Armstrong Mill","1467,2311,571,366,745,176,563,843,2117,2080,728,1021,190,974,1343,1183,2238,193,896,580,1686,2044,1726,632,2412,2029,574,1568,542,1944,1684,304,1843,1627,2202,1035,1657,2139,587,2353,807,1545,499,2225,2020,1459,2130,2307,536,12,971,1400,135,228,698,1269,1355,124,1016,346,1892,532,2000,136,1378,877,1839,1503,1468,1384,2246,2074,1524,1426,47,1779,1056,1611,462,1306,188,450,52,2230,702,775,470,605,1674,530,1796,1375,1462,800,1090,1290,1767,780,288,1655,1137,2387,900,1997,593,1573,2241,1991,362,909,1097,1793,2339,14,1491,286,1672,633,352,1266,1648,1210,1610,452,2207,1100,239,899,673,2262,1525,271,1924,494,247,2149,70,872,2272,1170,2300,1560,1559,78,202,1689,2407,648",148
Woodland / Chevy Chase / Ashland,"Contains: Ashland, Chevy Chase, Aylesford, Hollywood, Montclair","1705,1060,289,65,344,556,857,617,2047,2146,1316,1906,2060,1349,975,887,985,118,650,1020,493,1270,113,2079,1722,447,1344,2365,170,1953,1169,1709,1533,232,1186,2033,1447,938,1993,1809,2180,830,586,1514,875,341,2154,1673,477,1794,923,1641,1798,688,92,1127,1739,1562,82,1747,1561,38,227,1453,741,1367,881,537,927,1255,18,295,573,319,949,2059,2405,1736,112,485,1047,1185,59,409,518,839,1692,1486,1950,1908,987,1894,2108,823,1206,2157,1257,127,290,2204,33,152,2039,230,294,1354,1987,1166,260,1498,441,109,418,1138,226,396,2015,1002,527,2206,2310,911,734,6,2205,1789,619,2141,255,854,1304,1041,2232,1401,388,160,1285,1814,1728,1753,2106,755,2014,1113,551,1633",146
Lansdowne / Glendover,"Contains:  Brigadoon, Castlegate, Glendover, Lansdowne, Merrick, Shadeland, Southern Heights, Taborlake, Zandale, Wilhite","1153,1267,1280,339,540,2220,1171,924,1405,143,1198,1,1688,1370,76,1537,880,95,1757,1082,22,1683,604,1451,1932,656,407,484,49,1880,2112,1769,652,16,1532,1103,2156,1051,282,394,1379,471,142,2322,616,1466,1784,1666,2083,1822,635,1949,1547,1606,488,229,2163,324,1149,1351,1442,2304,1036,111,1847,1697,466,2090,2197,2389,941,2110,931,502,54,715,5,1725,822,2050,1469,545,1836,1246,1651,1979,2212,440,1128,1437,1566,757,606,2138,162,2189,196,2125,291,79,1232,2377,1362,595,2254,1593,1289,1874,1830,878,1837,1108,1038,549,1506,2009,1926,533,2265,1417,1196,664,126,2297,1330,2089,890",127
Gardenside,"Contains: Gardenside, Garden Springs, Golf View Estates, Mason Headley, Red Mile, Pine Meadows, The Colony, Twin Oaks, and Williamsburg Estates","817,1019,1492,1385,1088,391,397,945,1899,101,825,1859,729,213,521,1431,257,1734,1681,511,279,2268,1969,368,2131,517,1274,1396,898,1440,1415,2290,2221,1397,1596,2064,1918,2345,1934,2213,1919,2115,2176,1618,438,2174,1960,751,1701,50,1646,567,2249,1172,670,240,701,528,1675,1550,1066,639,641,1669,1980,1731,2062,1403,223,1229,2329,2001,1938,1164,1197,62,526,1937,356,717,1912,1787,926,1310,610,337,1905,496,1312,1444,915,2037,1104,2214,1410,2218,331,1649,658,73,983,628,1930,1602,2266,882,999,902,404",109
Old Richmond Road / Rural South,"Contains: Athens, Boone Creek, Chilesburg, Delong, Jacks Creek, Old Richmond Road, Walnut Hill","781,1479,2237,2312,1387,328,2027,56,2410,2031,2155,357,1184,225,1534,1463,790,2081,1034,1872,99,773,2274,637,1438,367,591,1715,2072,231,425,383,1864,1326,312,1063,1081,1933,1761,1645,1190,1313,1541,2349,1890,1652,625,314,2091,2236,1360,1004,721,216,2004,1855,550,1548,1177,1690,1043,1706,1215,1788,1759,792,565,1386,936,1251,2256,1586,1741,2182,847,51,1986,164,1288,1988,1619,506,1512,1535,1762,994,2159,402,75,976,1399,90,273,2309,80,1475,2065,692,1256,329,171,1748,2127,1549",104
Kenwick / Bell Ct. ,"Contains: Mentelle, Bell Court, Kenwick","379,621,473,995,278,723,1018,2071,913,1300,1249,972,2150,1105,2042,522,1630,2408,93,181,207,1078,492,594,2384,1952,317,1007,1318,1107,1515,1941,1356,1714,1411,2187,1336,2351,968,2354,406,1058,199,1158,2121,607,1735,1863,1654,2017,2320,2129,1629,39,1638,148,1219,2168,956,1670,2251,335,2259,191,1393,1140,1543,1557,97,862,1099,1885,1204,1087,2401,1893,618,1168,748,1888,1250,1296,68,192,998,2188,856,842,876,1297,1694,1126,475,1612,646,2109,905,1972",98
Veterans,"Contains: Cumberland Hill, Veterans Park, Glasford, Pickway Korner, Southpoint, Waterford","725,2271,2165,1774,1719,184,2217,1225,1691,746,1329,703,338,1967,722,361,1981,1916,737,1443,1010,2085,1778,1014,1201,1907,389,934,1040,524,1594,811,947,1746,28,733,695,355,1565,1764,1510,2326,236,1530,263,1319,2302,1720,2160,2247,1241,46,1328,2124,2231,2305,1037,67,2161,793,1954,2324,1381,546,2003,2077,613,764,1851,145,307,514,1982,1748,2127,1549,767,2235,598,829,845,1609,1780,132,1797,897,234,2245",88
Stonewall,"Contains: Stonewall, Clays Mill, Monticello, Rabbit Run, Robinwood, Shillito, and Wellington","525,1077,2325,1025,820,1292,2360,1358,268,2391,327,1579,1663,1601,1471,2234,1209,453,178,1813,285,2201,1157,841,2104,935,1956,2006,69,918,758,2357,1910,950,487,414,277,1846,2292,146,1704,325,372,2227,559,1732,1294,443,1143,1572,8,2040,1380,116,133,1067,866,1028,1265,1698,838,2356,1339,512,2095,1551,251,1314,1614,1470,1867,505,1724,803,131,1450,2118,1332,159,334,1791,859,463,730,1816",85
Beaumont,"Contains: Beaumont, Harrods Hill, Palomar, and Clemens Heights","1901,697,1678,35,429,1695,1527,848,1101,117,1059,895,914,1022,1819,997,1142,2406,342,2398,1435,1501,399,2276,1321,403,1647,2178,672,2128,385,459,1824,2099,835,889,768,1589,1754,217,2336,1616,1508,1145,34,747,879,233,2301,302,1640,1768,1091,925,1777,631,1984,283,1154,1416,376,1820,762,1494,1723,17,714,410,58,1643,300,94,2317,1804,110,2114,345,275,2186,519,1334,1755,2283,1208",84
