OTT Raw Data Response,Neighborhood Cluster,Neighborhood MC,Neighborhood - OR,Neighborhood Codes,Environment - MC,Environment - OR,Environment Codes,Jobs & Prosperity - MC,Jobs & Prosperity - OR,Jobs & Prosperity Codes,Transportation - MC,Transportation - OR,Transportation Codes,UR Balance MC,UR Balance - OR,UR Balance Codes,Lex - MC,Lex - OR,Lexington Codes,Gender,Age Range,Race,Race - Open Response,Highest Education Level,ZIP Code,Likely Council District
1,Lansdowne / Glendover,"Yes, I like living in my neighborhood.","Less thru traffic, speeding cars, preservation of existing tree canopy (mature trees dying or being cut down and often not replaced), more walkable restaurants and businesses.","Traffic Calming / Safety,Trees,Walkability / Bikeability / Accessibility,Amenities & Quality of Life","Yes, I think protecting the environment should be a high priority","Preservation of green space and existing farms, improved tree canopy, more intentional designs of new construction to allow for clean water runoff, wildlife protection, and preserved natural areas. More emphasis on recycling and conservation.","Urban Greenspaces,Rural Greenspace Conservation,Trees,Water Infrastructure / Quality,Environmental Sustainability & Resiliency,Recycling & Composting",I think that only some people can succeed financially in Lexington,"Safe and affordable low income housing, community programs to build life skills and vocational opportunities for youth and families, improved access to mental health and social support.","Housing Affordabiilty,Workforce Training,Social Services","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Realistically cars will be important and need to be considered for all future planning especially given recent pandemic concerns and growing boundaries of urban areas. Too much focus on growing the priority of public transportation at the detriment of cars is short-sighted and creates adverse conditions to families and new professionals who are considering the area. However, strengthening public transport to areas like UK campus makes sense.","Public Transportation,Traffic Congestion,Style of Development","I think growth in Lexington is a good thing, depending on how it happens","At this point growth needs to be intentional and carefully planned to create a more cohesive city aesthetic, preserve green space, respect the fabric of existing residential neighborhoods, and take advantage on underused or “blighted” areas across the city.","Style of Development,Urban Greenspaces,Infill & Redevelopment","I like living/spending time in Lexington, but it could use some changes","Better comprehensive vision for growth and development, more emphasis on aesthetic and intentional growth, careful planning for transportation that considers ALL users (including cars), and more local, unique, and creative spaces for dining, shopping, and recreation to help invite diverse and enjoyable activities and opportunities year round.","Public Transportation,Traffic Calming / Safety,Amenities & Quality of Life",Female,40-50,White,,More than Master's Degree,40502,3
2,East End,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",Protect where you live. Don't let everything in your circle.,Environmental Sustainability & Resiliency,I think everyone can succeed financially in Lexington,If they desire to succeed you must want to do. ,,I think it’s more important for the city to prioritize cars,,,,,,,,,,,,,,,1
3,Hartland / Squires,"I like living in my neighborhood, but it could use some changes.",More place to go at the plaza and better stores there,Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority",Plant more and better trees ,Trees,I think that only some people can succeed financially in Lexington,More business where teens and parents can work cause there arent a lot of business here in Lexington that pay well for adults and teens,Economic Equity,,,,,,,,,,,,,,High School Student,,"7,8"
4,Picadome / Pensacola,"Yes, I like living in my neighborhood.",Affordable housing for more diverse populations,"Diversity / Equity / Inclusion,Housing Affordabiilty","Yes, I think protecting the environment should be a high priority",Increase mass transit options. Increase bike usage. ,"Public Transportation,Walkability / Bikeability / Accessibility",I think very few people can succeed financially in Lexington,A living wage mandated by the city. A reduction in full time hours to qualify for benefits. Universal basic income. ,Wages / Benefits,"I think walking, biking, and public transit are more important for the city to prioritize","Increase busses, reduce cars, increase bike use and bike paths","Walkability / Bikeability / Accessibility,Traffic Congestion,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens","We need affordable housing, multi plex units built, regulations for rent control ","Style of Development,Housing Affordabiilty","Yes, I like living/spending time in Lexington",More economic security for its inhabitants. More housing for the unhoused  (around 700 currently). More economic security reduces crime and addiction. Increase funding for social services and decrease funding for weaponized policing. Access to mental health services for everyone. ,"Economic Equity,Social Services,Safety",Male,40-50,White,,Master's Degree,40503,10
5,Lansdowne / Glendover,"I like living in my neighborhood, but it could use some changes.",I think that there should be more accessibility to summer    programs and more community events and activities. ,Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority","Planting of trees, community clean ups, giving the residents of the community more stake. ","Trees,Amenities & Quality of Life",I think very few people can succeed financially in Lexington,"Financial literacy, entrepreneurship education, openness for opportunity and empowerment. ","Social Services,Workforce Training,Economic Equity","I think it is equally important for the city to prioritize cars, walking, biking, and public transit",The streets of Lexington are slowly deteriorating and the potholes must be fixed. ,Infrastructure & Utilities,"I think growth in Lexington is a good thing, depending on how it happens","We need to grow in a way that is beneficial to all of Lexington, not just for the elite. ",Diversity / Equity / Inclusion,"I like living/spending time in Lexington, but it could use some changes",There should be more to do. More community involvement would be ideal. ,Amenities & Quality of Life,Female,30-40,"Asian,American Indian / Alaskan Native,Black / African-American,White",,High School Diploma or equivalent,40502,3
6,Woodland / Chevy Chase / Ashland,"Yes, I like living in my neighborhood.",If I could afford to live there and not just rent ,Housing Affordabiilty,"Yes, I think protecting the environment should be a high priority",Require solar panels on all new builds and  keep working on making Lexington more walkable/bikeable without using it as an excuse to build new construction without parking lots,"Walkability / Bikeability / Accessibility,Parking,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",Keep expanding the bike trails to connect ,"Walkability / Bikeability / Accessibility,Connectivity","I think growth in Lexington is a good thing, depending on how it happens",I think we should build up preserving our farmland while also incentivizing adaptive reuse promoting the environmentally friendly practices of using what we already have ,"Rural Greenspace Conservation,Infill & Redevelopment,Economic Development,Environmental Sustainability & Resiliency,Style of Development","I like living/spending time in Lexington, but it could use some changes",If we weren’t so segregated ,Diversity / Equity / Inclusion,Male,30-40,White,,Master's Degree,40502,3
7,No Response,"Yes, I like living in my neighborhood.",nothing,,"I think protecting the environment is good, but it shouldn't be a high priority",insurence,,I think very few people can succeed financially in Lexington,more better jobs,Economic Development,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",better cars,,"I think growth in Lexington is a good thing, depending on how it happens",better government,Government Services,"I like living/spending time in Lexington, but it could use some changes",better fun stuff to do and better mall,Amenities & Quality of Life,,,,,High School Student,,7
8,Stonewall,"Yes, I like living in my neighborhood.","Stonewall is a great neighborhood and we are blessed to live here. A minor improvement would be trash service by the City of Lex instead of private companies. Not sure why we don't have that benefit.
",Government Services,"Yes, I think protecting the environment should be a high priority","PSC regulation of KU to provide 1:1 compensation for solar net metering to encourage less reliance on fossil fuel generated electricity.
Citywide composting program
Enhanced recycling
Education about solutions for stormwater management, alternative options for lawn care to reduce use of chemicals that are harmful to wildlife and people. ","Infrastructure & Utilities,Environmental Sustainability & Resiliency,Recycling & Composting,Government Education,Water Infrastructure / Quality",I think that only some people can succeed financially in Lexington,"More available housing. Much to unpack here, but areas of concern:
Lack of affordable market rate housing in Lexington.
Increased gentrification of neighborhoods as demand for housing exceeds supply, and prices increase.
Number of investors who are acquiring property for use as rentals, decreasing supply>increasing prices of homes available for families.
Loan programs for affordable home ownership.
Other:
Business opportunities - grants and forgivable microloans
Free tuition! ","Housing Affordabiilty,Gentrification & Displacement,Public Education,Economic Development,Economic Equity","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Cars are not going away, but we can help them coexist with walking and biking, and be more sustainable.
EV charging stations to encourage purchase of electric vehicles.
Preserve net metering to encourage solar panel installs to charge EVs.
Safer bike lanes.
Education of students and the general public about protecting the environment; benefits of biking, walking, and how to drive to keep bikes and pedestrians safe.
","Walkability / Bikeability / Accessibility,Environmental Sustainability & Resiliency,Government Education","I think growth in Lexington is a good thing, depending on how it happens","Thoughtful higher density housing units in central areas. Subsidize grocery and other necessary commodities in dense areas, and provide parks and greenspaces.
Allow ADUs
Limited expansion of urban service area for housing. ","Urban Services Boundary,Infill & Redevelopment,Style of Development,Urban Greenspaces","Yes, I like living/spending time in Lexington","A population that is educated about the following things:
Important civic issues.
How government works at all levels, how to find facts and truth to reduce disinformation.
How to engage productively with government to leverage tools available for success, and to improve the level of service of government.
The responsibilities of government and of citizens.
This needs to be part of school curriculum from elementary through high school!!
Other:
More outdoor arts activities.
Longer summers :)","Government Education,Public Education",Female,50-60,White,,Master's Degree,40503,9
9,Masterson / McConell's Trace / Coldstream,"Yes, I like living in my neighborhood.",My neighborhood has a flooding issue that needs to be fixed. ,Water Infrastructure / Quality,"Yes, I think protecting the environment should be a high priority","Lexington should incentivize solar panels and force HOA’s to allow them. Also, we have one of the biggest car factories in the country just 30 minutes away, maybe they could partner with them on plug in hybrid cars. ",Environmental Sustainability & Resiliency,I think that only some people can succeed financially in Lexington,"I used to think everyone could be financially comfortable in Lexington but after 2020, I feel differently. Lexington has a problem with affordable housing. ",Housing Affordabiilty,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Sidewalks! I lived off Mason Headley and the neighbors voted for no sidewalks. It didn’t stop walkers though, they just go through private yards. The city should not allow neighbors to vote on sidewalks. It should just happen. ",Walkability / Bikeability / Accessibility,I think growth in Lexington is always a good thing,"If you take a flight over Lexington, you can see big horse farms with one or no horses in their fields. Wealthy farm owners should not get to stifle our growth. Obviously downtown needs more growth but most people want to live in the suburbs and farms are holding this up. ",Growth Location,"Yes, I like living/spending time in Lexington",I love living in Lexington and would not want to live anywhere else in Kentucky. Affordable housing and more housing is definitely needed to make us a great place to live. ,"Housing Affordabiilty,Style of Development",Female,30-40,White,,Bachelor's Degree,40509,6
10,No Response,"I like living in my neighborhood, but it could use some changes.",i think it because sometimes can be a little loud but mostly is chiill something that I like,Amenities & Quality of Life,"I think protecting the environment is good, but it shouldn't be a high priority","Has a nice social comunitty, a respectful comunuty",Amenities & Quality of Life,,,,,,,,,,,,,,,,,High School Student,,Unknown
11,Idle Hour / Woodhill,"Yes, I like living in my neighborhood.","More green spaces, better communication among neighbors, more small businesses nearby","Urban Greenspaces,Amenities & Quality of Life","Yes, I think protecting the environment should be a high priority","Waterway preservation, preservation of rural and ecological areas, education about how yards can be turned into ecologically beneficial environments","Water Infrastructure / Quality,Rural Greenspace Conservation,Government Education,Environmental Sustainability & Resiliency,Urban Greenspaces",I think that only some people can succeed financially in Lexington,"More affordable housing, resources for renters and first time homebuyers","Housing Affordabiilty,Rental Issues","I think walking, biking, and public transit are more important for the city to prioritize","More and wider bike lanes, expansion of bus routes, green space for walking and biking","Urban Greenspaces,Walkability / Bikeability / Accessibility,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens",I support urban infill and reduction of suburban sprawl. ,"Infill & Redevelopment,Growth Location","Yes, I like living/spending time in Lexington","More investment in small business and ecotourism, more incentives for independent restaurants, better access to housing","Economic Development,Amenities & Quality of Life,Housing Affordabiilty",Male,20-30,White,,Bachelor's Degree,40502,5
12,Tates Creek,"No, I do not like living in my neighborhood.",Violence,Safety,"I think protecting the environment is good, but it shouldn't be a high priority",Plant more trees,Trees,I think very few people can succeed financially in Lexington,"better pre-k education
job opportunities for all
Housing for all","Public Education,Economic Equity,Housing Affordabiilty","I think walking, biking, and public transit are more important for the city to prioritize",safe trails for walking and biking,Walkability / Bikeability / Accessibility,"I think growth in Lexington is a good thing, depending on how it happens",Build up not out,"Infill & Redevelopment,Style of Development","I like living/spending time in Lexington, but it could use some changes",More activities that are culturally diverse,"Amenities & Quality of Life,Diversity / Equity / Inclusion",Male,40-50,Black / African-American,,,40515,8
13,Picadome / Pensacola,"Yes, I like living in my neighborhood.",Better road access. Turning onto nicholasville rd is hectic at certain times of the day,"Connectivity,Traffic Calming / Safety","Yes, I think protecting the environment should be a high priority",Better education on composting and recycling programs,"Recycling & Composting,Government Education",I think everyone can succeed financially in Lexington,More opportunities for those out of LFCUG area,,"I think walking, biking, and public transit are more important for the city to prioritize",Bike lanes to popular destinations. Better sidewalks. Walk/jog paths with tree canopy closer to uk campus and downtown,"Walkability / Bikeability / Accessibility,Trees","I think growth in Lexington is a good thing, depending on how it happens",I would prefer growth happen up instead of out. Farmland is important to keep in agriculture. Lexington can flourish as agriculture focused economy ,Rural Greenspace Conservation,"Yes, I like living/spending time in Lexington","I enjoy the “small city/big town” feel. It’s not too big but has most of the same opportunities as bigger cities, generally speaking. With new soccer team and town branch, I’m excited to see what next 5-10 years brings",Amenities & Quality of Life,Male,40-50,White,,Bachelor's Degree,40503,10
